name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Aaltonen Gabriela, Spårvägens BTK,46,,18,28,,,,,
Benjegård Siri, Askims BTK,46,28,18,,,,,,
Pashley Ela, England,36,,36,,,,,,
Ellermann Clara, Västers BTK,29,7,9,13,,,,,
Sahle Sofia, LinnePartille PK,28,7,3,18,,,,,
Bebawy Angelina, KFUM Stocksund IA,27,18,9,,,,,,
Lou Sally, Virum Club,26,13,9,4,,,,,
Jetha Sienna, England,24,,24,,,,,,
Cabardo Laurynne, Ängby SK,22,13,9,,,,,,
Engström Betty, Levide IF,22,4,5,13,,,,,
Asp Amanda, Norrtälje Bordtennisklubb,19,7,5,7,,,,,
Mickelborg Filippa, Vestegnen BTK,16,4,5,7,,,,,
Swartling Lilly, Ängby SK,13,4,5,4,,,,,
Rosenmeier Stella, IFK Klagshamn,12,7,5,,,,,,
Momeni Ramila, Ängby SK,11,4,3,4,,,,,
Zetterström Frida, Ängby SK,11,4,5,2,,,,,
Edvardsson Tilda, Carlshamns BTK,9,2,3,4,,,,,
Kinell Juni, Upplands Väsby BTK,9,,5,4,,,,,
Swartling Frida, Ängby SK,9,2,3,4,,,,,
Weng Laura, Vestegnen BTK, Greve BTK,9,4,3,2,,,,,
Dittlau Hannah, IFK Täby BTK,7,,5,2,,,,,
Enbom Alicia, Carlshamns BTK,7,4,1,2,,,,,
Flor Wilhemsen Susanne, Trondheims BTK,7,,,7,,,,,
Eriksson Maya, Lyckeby BTK,6,4,2,,,,,,
Luong Borg Neah, Oskarshamns BTK,5,2,3,,,,,,
Ahmad Divin, Tibble-Kungsängen BTK,4,1,1,2,,,,,
Bengtsson Karla, Laholms BTK Serve,4,1,3,,,,,,
Källström Hilma, Karlsborgs BTK,4,2,2,,,,,,
Manavicka Eliza, Latvia,4,,,4,,,,,
Sharon Noa, Rishon LeZion,4,,,4,,,,,
Stasevska Polina, Latvia,4,,,4,,,,,
Svensson Nellie, Skurups BTK,4,1,3,,,,,,
Zetterström Lisa, Ängby SK,4,1,1,2,,,,,
Deckert Marie, Hasle IF/Bornholm,3,2,1,,,,,,
Holm Linnea, Ängby SK,3,2,1,,,,,,
Juhl Larsen Freja, Aleröd Bordtennisklub,3,,3,,,,,,
Thangklang Noppharat, Eslövs AI BTK,3,2,1,,,,,,
Voong Chelinda, Vestegnen BTK,3,,3,,,,,,
Zanhar Julia, Lekstorps IF,3,2,,1,,,,,
Edvinsson Tuva, Laholms BTK Serve,2,1,1,,,,,,
Flor Wilhemsen Rebekka, Trondheims BTK,2,,,2,,,,,
Lorentzon Emmy, Långemåla BTK,2,1,,1,,,,,
Åkerstedt Tilda, Karlsborgs BTK,2,,1,1,,,,,
Andersson Ellinor, Torslanda Bordtennisklubb,1,1,,,,,,,
Hedlund Ella, Sjöbo BTK,1,,1,,,,,,
Izulena Marija, Latvia,1,,,1,,,,,
Lärka Julia, Ängby SK,1,,,1,,,,,
Oberle Agnes, LTK Kalev,1,,,1,,,,,
Wennberg Emilia, Ängby SK,1,,,1,,,,,
Zibunova Anastasija, Latvia,1,,,1,,,,,
