name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Gravsiö Wallin Adam, IFK Täby BTK,125,55,39,31,,,,,
Madhu Chandra Bharath, Spårvägens BTK,80,9,55,16,,,,,
Sjösvärd Melker, Linköpings Pingisklubb,71,16,16,39,,,,,
Gjörling Emil, Ängby SK,63,16,16,31,,,,,
Abramov Natanael, Rishon LeZion,55,,,55,,,,,
Alvendal Theo, Norrtulls SK,55,39,16,,,,,,
Jobs Hugo, Ängby SK,52,31,5,16,,,,,
Hedblad Sigge, IFK Täby BTK,49,9,31,9,,,,,
Usov Mark, Haparanda SKT,40,31,,9,,,,,
Enbom Noah, Carlshamns BTK,34,9,16,9,,,,,
Engberg-Havsteen Johan, Åstorps BTK,34,16,9,9,,,,,
Kingham Issac, England,31,,31,,,,,,
Geijer Axel, KFUM Jönköping IA,30,9,5,16,,,,,
Piilola Mio, BTK Frej,30,16,9,5,,,,,
Larsson Sebastian, Spårvägens BTK,23,5,9,9,,,,,
Röhr Jack, Spårvägens BTK,23,9,9,5,,,,,
Ståhl Olle, Ängby SK,23,9,5,9,,,,,
Johansson Melker, Norrtulls SK,19,5,9,5,,,,,
Lett Nottelmann Adam, Brønshøj,19,9,5,5,,,,,
Hallberg Leon, Halmstad BTK,17,9,5,3,,,,,
Larsson Vidar, Uppsala BTK,17,5,9,3,,,,,
Lehtola Lassi, Finland,16,,,16,,,,,
Bozanovic Emilio, BTK Rekord,15,5,5,5,,,,,
Bröms August, Norrtulls SK,15,5,5,5,,,,,
Hasselbalch Emil, Virum/Sorgenfri BTK,15,3,9,3,,,,,
Severinsen Malik, ESBJERG,15,5,5,5,,,,,
Høier Erik, Bronshoj,14,5,,9,,,,,
Lundh Gabriel, Spårvägens BTK,13,3,5,5,,,,,
Myrhage Axel, Askims BTK,13,5,5,3,,,,,
Kongsdal Andreas, Vestegnen BTK,11,5,5,1,,,,,
Hermann Magne, Lekstorps IF,10,5,3,2,,,,,
Karlsson Englund Simon, Spårvägens BTK,10,,5,5,,,,,
Blom Jonathan, Frederiksbergs Bordtennisklub,9,,9,,,,,,
Fischer Mio, Norrtulls SK,9,2,5,2,,,,,
Sahr Aaron, Luxembourg,9,,,9,,,,,
Sträm Jacob, Ängby SK,9,3,1,5,,,,,
Ahrenholt Jensen Marcus, Hilleröd Bordtennis,8,,5,3,,,,,
Ellermann Emil, Västers BTK,8,2,3,3,,,,,
Højslet Gustav, Ribe BTK,8,3,5,,,,,,
Ingeström Albin, Ängby SK,8,3,3,2,,,,,
Petersson Tintin, IFK Klagshamn,8,3,5,,,,,,
Svedlund Ivan, Spårvägens BTK,8,5,3,,,,,,
Wirk Nikolaj, Vestegnen BTK,8,5,3,,,,,,
Elebring Felix, Linköpings Pingisklubb,7,2,,5,,,,,
Engström Alexander, Hammarby IF BTF,7,5,,2,,,,,
Appelros Elias, Carlshamns BTK,6,3,3,,,,,,
Grahn Skoog Theo, Böksholms IF,6,,3,3,,,,,
Olsson William, Söderhamns UIF,6,5,,1,,,,,
Rengbrandt Lucas, Trelleborgs BTK,6,1,3,2,,,,,
Törnkvist Hampus, Halmstad BTK,6,2,3,1,,,,,
Åkerstedt Filip, Karlsborgs BTK,6,,3,3,,,,,
Adolphson Noa, Spårvägens BTK,5,,3,2,,,,,
Ah-King Lo, Hammarby IF BTF,5,5,,,,,,,
Bjerke Ebbe, BTK Safir,5,3,,2,,,,,
Boberg Nils, IFK Klagshamn,5,,3,2,,,,,
Claeson Felix, IFK Lund Bordtennis,5,5,,,,,,,
Eriksson Antony, Tibble-Kungsängen BTK,5,,3,2,,,,,
Fuchs Matan, Rishon LeZion,5,,,5,,,,,
Grunfeld Tomy, Rishon LeZion,5,,,5,,,,,
Hallén Zac, Trelleborgs BTK,5,,3,2,,,,,
Norburg Harald, Ängby SK,5,,3,2,,,,,
Olsson Frank, Spårvägens BTK,5,1,3,1,,,,,
Salmi Lenny, Västerås BTK,5,,,5,,,,,
Thomas Türi Frank, LTK Kalev,5,,,5,,,,,
Tolinsson Elliot, Solna BTK,5,3,,2,,,,,
Zhu William, Spårvägens BTK,5,,,5,,,,,
Andrae Jacob, Malmö IF,4,3,1,,,,,,
Appelgren Isac, Lekstorps IF,4,1,3,,,,,,
Blecher Bruno, Norrtulls SK,4,1,3,,,,,,
Bravo Eliah, Upplands Väsby BTK,4,,3,1,,,,,
Bölenius Pontus, Boo KFUM IA,4,,3,1,,,,,
Eineving Karl, Mölndals BTK,4,1,3,,,,,,
Hjertman Ruben, Spårvägens BTK,4,2,1,1,,,,,
Koch Liedes Alexander, Horreds BTK,4,1,3,,,,,,
Martinsson Hugo, Lekstorps IF,4,1,3,,,,,,
Mattsson Anton, Lyckeby BTK,4,1,3,,,,,,
Stucki Harry, Hammarby IF BTF,4,2,,2,,,,,
Svanström Alvin, Lyckeby BTK,4,1,3,,,,,,
Troske Elliott, Ängby SK,4,2,1,1,,,,,
Af Winklerfelt Axel, Trelleborgs BTK,3,2,1,,,,,,
Appelblad Christensen Hugo, IFK Täby BTK,3,,,3,,,,,
Asterhed Arvid, Lyckeby BTK,3,2,1,,,,,,
Bigander Vincent, Rotebro BTK,3,3,,,,,,,
Carlsson Hannes, KFUM Kristianstad BTF,3,2,1,,,,,,
Dommermuth Sivertsen Fredrik, Fokus BTK,3,3,,,,,,,
Drake Leonard, Svanesunds GIF,3,,3,,,,,,
Durakovic Neo, BTK Safir,3,,,3,,,,,
Frøseth Jonas, Tingvoll BTK,3,3,,,,,,,
Haegerstam Hampus, Linköpings PK,3,,,3,,,,,
Höij Axel, Ängby SK,3,,,3,,,,,
Jerdborg Love, Lekstorps IF,3,,3,,,,,,
Johansson Kenneth, Rotebro BTK,3,3,,,,,,,
Lambinet Noah, Luxembourg,3,,,3,,,,,
Lindahl Linus, Dänningelanda BTK,3,,,3,,,,,
Lydén Lindblom Arvid, IFK Täby BTK,3,2,,1,,,,,
Persson Melker, Trelleborgs BTK,3,2,1,,,,,,
Pham Johnny, IFK Täby BTK,3,2,,1,,,,,
Rosenberg Bergholt Villads, Hvidovre Bordtennis,3,,1,2,,,,,
Terentjevs Kirils, Latvia,3,,,3,,,,,
Theisen Max, Luxembourg,3,,,3,,,,,
Zmara Vito, Ortvikens PK,3,,1,2,,,,,
Arvidsson Ture, Linköpings Pingisklubb,2,2,,,,,,,
Forsberg Carl, Lekstorps IF,2,2,,,,,,,
Gran Victor, Åsa IF,2,1,1,,,,,,
Gustafsson Åmark Arvid, Mölndals BTK,2,1,1,,,,,,
Häggström Nils, Spårvägens BTK,2,,,2,,,,,
Koivumäki Jimi, TIP-70,2,,,2,,,,,
Kraiko Martin, LTK Kalev,2,,,2,,,,,
Luks Arturs, Latvia,2,,,2,,,,,
Nordman Måns, Solna BTK,2,,,2,,,,,
Oinas Luka, OPT-86,2,,,2,,,,,
Oskarsson David, Eslövs AI BTK,2,1,1,,,,,,
Pelles Alexander, Norrtulls SK,2,,,2,,,,,
Strand Alvar, Solna BTK,2,,,2,,,,,
Tang Dylan, Fokus BTK,2,2,,,,,,,
Tibblin Emil, Stratos Enköping BTK,2,,,2,,,,,
Björk Hugo, Vaggeryds BTK,1,,1,,,,,,
Brandt Edvard, Rotebro BTK,1,1,,,,,,,
Brouwer Didrik, Mölndals BTK,1,1,,,,,,,
Emanuels Pupins Benjamins, Latvia,1,,,1,,,,,
Erlandsen Niklas, Fokus BTK,1,1,,,,,,,
Fredriksson Albin, Spårvägens BTK,1,,,1,,,,,
Freij Kelvered Oliver, Mölndals BTK,1,1,,,,,,,
Gustafsson Gunnar, Boo KFUM IA,1,,,1,,,,,
Hobeoja Ottomar, LTK Kalev,1,,,1,,,,,
Holkedahl Erik, Rotebro BTK,1,1,,,,,,,
Häggander Melker Svenesunds GIF,1,,1,,,,,,
Isaksson John, Kungsbacka BTK,1,1,,,,,,,
Itzik Roi, Haifa,1,,,1,,,,,
Johansson Gustav, Fokus BTK,1,1,,,,,,,
Kozintesev Enrico, LTK Kalev,1,,,1,,,,,
Kuivinen Henry, Hammarby IF BTF,1,,,1,,,,,
Månsson Christos, BTK Rekord,1,,1,,,,,,
Nilsson Oscar, BTK Frej,1,,1,,,,,,
Patjas Elias, Ängby SK,1,,,1,,,,,
Phan William, IFK Klagshamn,1,,1,,,,,,
Puljer Torsten, Ortvikens PK,1,,,1,,,,,
Ralfs Zeme Aleksis, Latvia,1,,,1,,,,,
Rusinovs Maksims, Latvia,1,,,1,,,,,
Sandberg Algot, Trelleborgs BTK,1,,1,,,,,,
Sandström Malte, IFK Täby BTK,1,,,1,,,,,
Sharon Harel, Rishon LeZion,1,,,1,,,,,
Stahl Eriksen Felix, Virum-Sorgenfri BTK,1,,1,,,,,,
Werkström Felix, Lyckeby BTK,1,,1,,,,,,
Wicktor Alexander, Trelleborgs BTK,1,,1,,,,,,
Zubkov Kirill, LTK Kalev,1,,,1,,,,,
