name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Alestedt Peter, IFK Täby BTK,13,5,3,5,,,,,
Edwardsson Isak, Ängby SK,13,5,5,,3,,,,
Hansson Victor, Horreds BTK,13,3,5,3,5,,,,
Johansson Marcus, Vetlanda BTK,13,3,,5,5,,,,
Niva Jönsson Axel, BTK Frej,13,3,3,5,2,,,,
Ridegård Charlie, Eslövs AI BTK,12,1,2,,9,,,,
Rodriguez Darvis Ingi, Horreds BTK,12,2,5,,5,,,,
Sjövold Alve, Ängby SK,12,3,,,9,,,,
Björklund William, Halmstad BTK,11,3,3,5,,,,,
Friis-Hansen Emil, Spårvägens BTK,11,3,3,5,,,,,
Johnsson Emil, Halmstad BTK,11,,3,5,3,,,,
Andersson David, Eslövs AI BTK,10,5,5,,,,,,
Barius Johan, Norbergs BTK,10,,5,5,,,,,
Bergman William, Stratos Enköping BTK,10,2,2,5,3,,,,
Friis Martin, Spårvägens BTK,10,5,,5,,,,,
Gustafsson Daniel, Västers BTK,10,,5,5,,,,,
Skobe Adam, Mariedals IK,10,1,2,3,5,,,,
Arvidsson Simon, Halmstad BTK,9,,9,,,,,,
Bennborn Tomas, IFK Österåkers BTK,9,,,9,,,,,
Bergenblock Sebastian, Askims BTK,9,1,2,2,5,,,,
Bramfors Karl, Horreds BTK,9,5,2,2,2,,,,
Ericson Gustaf, Ängby SK,9,,,9,,,,,
Hjort Anton, Söderhamns UIF,9,9,,,,,,,
Samuolis Dominykas, Roskilde BTK 61,9,,9,,,,,,
Sundin Elias, Spårvägens BTK,9,,3,3,3,,,,
Tran Anthony, Spårvägens BTK,9,9,,,,,,,
Blad Samuel, Lyckeby BTK,8,5,3,,,,,,
Hovdenak Noah, Fokus BTK,8,3,,,5,,,,
Lundqvist Elliot, Söderhamns UIF,8,3,,5,,,,,
Orantes Alvarez Diego, BTK Rekord,8,3,5,,,,,,
Piggot Benjamin, England,8,,3,,5,,,,
Ransgart Fabian, Norrtulls SK,8,,3,3,2,,,,
Sahle Carl, Horreds BTK,8,,,3,5,,,,
Sali Alper, Spårvägens BTK,8,3,5,,,,,,
Sandholt Mattias, BTK Rekord,8,5,,3,,,,,
Sjögren Elias, Ängby SK,8,5,3,,,,,,
Bøhler Thomassen Felix, Fokus BTK,7,2,,,5,,,,
Färdig Elias, Gefle PK,7,2,1,2,3,,,,
Larsson Lee, Västers BTK,7,5,2,,,,,,
Rommedahl Hugo, Huskvarna Södra IS,7,2,3,2,1,,,,
Törner Jakob, Spårvägens BTK,7,2,,3,2,,,,
Dyekjaer Theo, IFK Lund Bordtennis,6,3,3,,,,,,
Fritzen Tjark, Linköpings PK,6,,,3,3,,,,
Gambina Andrew, Halmstad BTK,6,3,3,,,,,,
Liljegren Simon, LinnePartille PK,6,1,3,2,1,,,,
Wånggren Albin, Lyckeby BTK,6,3,3,,,,,,
Öhman Isac, Norrtulls SK,6,,1,5,,,,,
Arvidsson Edvin, BTK Frej,5,,,3,2,,,,
Dahlström Noah, Mariedals IK,5,,,5,,,,,
Ebenius Ludwig, Ängby SK,5,2,2,,1,,,,
Fraenell Vilmer, Spårvägens BTK,5,,2,1,2,,,,
Fröseth Martin, Halmstad BTK,5,,,,5,,,,
Gerakios Georgios, Sölvesborgs BTK,5,,2,3,,,,,
Harada Tetta, Fokus BTK,5,,,,5,,,,
Kindblad Willhelm, Halmstad BTK,5,5,,,,,,,
Lidén Helmer, Norrtulls SK,5,,2,1,2,,,,
Mc Donald Jonatan, Söderhamns UIF,5,,,5,,,,,
Mikael Joel, Lyckeby BTK,5,,3,,2,,,,
Nylander Kim, Falkenbergs BTK,5,,5,,,,,,
Serra Ayuso Angel, Västers BTK,5,,5,,,,,,
Singeorzan Bogdan, DT Echternach,5,,,5,,,,,
Valenet Edouard, Compiegne,5,5,,,,,,,
Wassdahl Alexander, Söderhamns UIF,5,2,1,2,1,,,,
Wesshagen Edward, Spårvägens BTK,5,5,,,,,,,
Dennison Adam, England,4,,2,,2,,,,
Dennison Joseph, England,4,,2,,2,,,,
Fraenell Axel, Spårvägens BTK,4,,1,2,1,,,,
Kah Emilio, Skurups BTK,4,2,2,,,,,,
Lee Hörnell Ludvig, Uppsala BTK,4,1,2,1,,,,,
Lundqvist Simon, Söderhamns UIF,4,2,,2,,,,,
Nilsson Lukas, Kungälvs BTK,4,2,2,,,,,,
Trumpauskas Larry, England,4,,3,,1,,,,
Wiener Hampus, BTK Rekord,4,1,,3,,,,,
Asgedom Nahom, Greenhouse Academy,3,,,3,,,,,
Bjerking Simon, Skurups BTK,3,1,1,,1,,,,
Campell Dale, B75,3,,1,2,,,,,
David Hold Cristian, Silkeborg BTK,3,3,,,,,,,
Elsen Luka, Luxembourg,3,,,3,,,,,
Ericson Eric, Ängby SK,3,,,3,,,,,
Gummesson Svensson Hannes, BTK Frej,3,3,,,,,,,
Holmqvist Jens, Ängby SK,3,,,3,,,,,
Johansson Marcus, Askims BTK,3,,1,,2,,,,
Keränen Linus, Norrtulls SK,3,,,3,,,,,
Kotromanac Aleksandar, Åstorps BTK,3,1,,2,,,,,
Lidén Isaksson Hannes, Eslövs AI BTK,3,,,3,,,,,
Linander Erik, Klippans BTK,3,1,1,,1,,,,
Lundstedt Magnus, BTK Kävlinge,3,1,2,,,,,,
Majdalani Henry, Spårvägens BTK,3,,,3,,,,,
Nielsen Ivik, Grönland,3,,,3,,,,,
Skoglund Albin, Askims BTK,3,,3,,,,,,
Skouboe Berntzen Oliver, Denmark,3,,,3,,,,,
Thörn Hannes, Vetlanda BTK,3,3,,,,,,,
Åborg Fredrik, Ängby SK,3,,,3,,,,,
Berg Sivert, Fokus BTK,2,1,,,1,,,,
Dunkley Ben, England,2,,,,2,,,,
Ellis Toby, England,2,,2,,,,,,
Gjörling Lukas, Ängby SK,2,,,2,,,,,
Hagström Måns, Nortulls SK,2,,1,,1,,,,
Hartvigsen Magnus, Silkeborg BTK,2,2,,,,,,,
Höier Erik, Denmark,2,,,2,,,,,
Jarenfors Johan, BTK Dalen,2,1,1,,,,,,
Kingham Issac, England,2,,2,,,,,,
Noah Lam Khai, Fokus BTK,2,2,,,,,,,
Ottosson Mikael, Södertälje BTK,2,,,2,,,,,
Piwowar Jakub, England,2,,,,2,,,,
Randall Harry, England,2,,,,2,,,,
Sellado Abraham, England,2,,,,2,,,,
Sköld Filip, Söderhamns UIF,2,,,2,,,,,
Svensson Viktor, Söderhamns UIF,2,,,2,,,,,
Thelin Albin, Horreds BTK,2,,,2,,,,,
Aaagard Torum Mats, Fokus BTK,1,,,,1,,,,
Aaagard Torum Ulrik, Fokus BTK,1,,,,1,,,,
Alvarado David, LinnePartille PK,1,1,,,,,,,
Barbi Hilly, Rishon LeZion,1,,,1,,,,,
Bergsten Oscar, IF Ifo,1,1,,,,,,,
Chandrasekaran Venkataragavan, Askims BTK,1,,,1,,,,,
Devantier Kallestrup Oscar, Denmark,1,,,1,,,,,
Floreby Axel, Linköpings Pingisklubb,1,1,,,,,,,
Gade Kasper, Brönshöj,1,,1,,,,,,
Gilad Levin, Rishon LeZion,1,,,1,,,,,
Grähs Manne, Uppsala BTK,1,,1,,,,,,
Haglund Emil, Norrtulls SK,1,,,1,,,,,
Högman Jakob, Heby AIF,1,,1,,,,,,
Kahlos Juho, Finland,1,,,1,,,,,
Karlsson Kenneth, Ängby SK,1,,,1,,,,,
Kongsdal Andreas, Denmark,1,,,1,,,,,
Käld Areskoug, Tullinge TP BTK,1,,,1,,,,,
Lambinet Noah, Luxembourg,1,,,1,,,,,
Leth Nottelman Adam, Denmark,1,,,1,,,,,
Lorén Arvid, Uppsala BTK,1,,1,,,,,,
Normann Christopher, Virum-Sorgenfri BTK,1,,1,,,,,,
Oberle Vincent, LTK Kalev,1,,,1,,,,,
Pullinen Leonid, Finland,1,,,1,,,,,
Radiven Max, England,1,,,,1,,,,
Schoug Loa, Åstorps BTK,1,,1,,,,,,
Shoar Kristian, Uppsala BTK,1,,1,,,,,,
Sivertsen Fredrik, Fokus BTK,1,,,,1,,,,
Soploher Jona, Svanesunds GIF,1,1,,,,,,,
Svensson Martin, BTK Frej,1,1,,,,,,,
Takeuchi Lassen Noah, Roskilde BTK,1,,,,1,,,,
Theisen Max, Luxembourg,1,,,1,,,,,
Tibold Noé, Luxembourg,1,,,1,,,,,
Tideman Liam, Uppsala BTK,1,,1,,,,,,
Vaher Andrus, LTK Kalev,1,,,1,,,,,
Vede Andreas, B75,1,,,1,,,,,
