name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Ransgart Fabian, Norrtulls SK,10,,5,3,2,,,,
Sali Alper, Spårvägens BTK,10,7,3,,,,,,
Skobe Adam, Mariedals IK,10,2,3,5,2,,,,
Bøhler Thomassen Felix, Fokus BTK,9,2,,,7,,,,
Dahlström Noa, Mariedals IK,9,,,9,,,,,
Dennison Joseph, England,9,,5,,4,,,,
Ellis Toby, England,9,,9,,,,,,
Gravsiö Wallin Adam, IFK Täby BTK,9,,,9,,,,,
Rodriguez Darvis Ingi, Horreds BTK,9,4,3,,2,,,,
Sahle Carl, Horreds BTK,9,,,5,4,,,,
Bergenblock Sebastian, Askims BTK,8,2,3,3,2,,,,
Fraenell Vilmer, Spårvägens BTK,8,,1,3,4,,,,
Dennison Adam, England,7,,5,,2,,,,
Ebenius Ludwig, Ängby SK,7,2,3,,2,,,,
Fraenell Axel, Spårvägens BTK,7,,3,3,1,,,,
Fritzen Tjark, Linköpings PK,7,,,3,4,,,,
Hunter Joseph, England,7,,3,,4,,,,
Johansson Marcus, Askims BTK,7,,3,,4,,,,
Lidén Helmer, Norrtulls SK,7,,3,3,1,,,,
Linander Erik, Klippans BTK,7,2,3,,2,,,,
Noah Lam Khai, Fokus BTK,7,7,,,,,,,
Bjerking Simon, Skurups BTK,6,2,3,,1,,,,
Fröseth Martin, Halmstad BTK,6,4,,,2,,,,
Hagström Måns, Norrtulls SK,6,,3,2,1,,,,
Liljegren Simon, LinnePartille PK,6,2,,3,1,,,,
Rudén John, Ängby SK,6,,3,3,,,,,
Takeuchi Lassen Noah, Roskilde BTK 61,6,,5,,1,,,,
Trumpauskas Larry, England,6,,5,,1,,,,
Wassdahl Alexander, Söderhamns UIF,6,2,1,3,1,,,,
Öhman Isac, Norrtulls SK,6,,3,3,,,,,
Asgedom Nahom, Greenhouse Academy,5,,,5,,,,,
Gerakios Gerogios, Sölvesborgs BTK,5,,3,2,,,,,
Högman Jakob, Heby AIF,5,,1,3,1,,,,
Kah Emilio, Skurups BTK,5,2,3,,,,,,
Kahlos Juha, Finland,5,,,5,,,,,
Keränen Linus, Norrtulls SK,5,,,5,,,,,
Lee Hörnell Ludvig, Uppsala BTK,5,2,1,2,,,,,
Lidén Isaksson Hannes, Eslövs AI BTK,5,,,3,2,,,,
Majdalani Henry, Spårvägens BTK,5,,,5,,,,,
Skouboe Berntsen Oliver, Denmark,5,,,5,,,,,
Dunkley Ben, England,4,,,,4,,,,
Gjörling Lukas, Ängby SK,4,4,,,,,,,
Hartvigsen Magnus, Silkeborg BTK,4,4,,,,,,,
Hovdenak Noah, Fokus BTK,4,2,,,2,,,,
Lundgren Martin, BTK Rekord,4,,3,,1,,,,
Piwowar Jakub, England,4,,,,4,,,,
Tabbakh Obada, Ortvikens PK,4,,1,3,,,,,
Bildhjerd Alwin, Spårvägens BTK,3,,,3,,,,,
Dittlau Eric, Söderhamns UIF,3,,1,2,,,,,
Gustafsson Benjamin, Eslövs AI BTK,3,,3,,,,,,
Hedblad Sigge, IFK Täby BTK,3,,,3,,,,,
Jarenfors Johan, BTK Dalen,3,2,1,,,,,,
Johansson Hjalmar, Norrtulls SK,3,,,3,,,,,
Kingham Isaac, England,3,,3,,,,,,
Larsson Valle, Uppsala BTK,3,,3,,,,,,
Lehtola Lassi, Finland,3,,,3,,,,,
Nilsson Lukas, Kungälvs BTK,3,2,1,,,,,,
Normann Christopher, Virum-Sorgenfri BTK,3,,3,,,,,,
Shevchenko Dima, Uppsala BTK,3,,3,,,,,,
Shoar Kristian, Uppsala BTK,3,,3,,,,,,
Skoglund Albin, Askims BTK,3,,3,,,,,,
Sköld Filip, Söderhamns UIF,3,,,3,,,,,
Strid Axel, Ängby SK,3,,,3,,,,,
Strindberg Fabian, Söderhamns UIF,3,,,3,,,,,
Svensson Viktor, Söderhamns UIF,3,,,3,,,,,
Thelin Albin, Horreds BTK,3,,,3,,,,,
Tibold Noé, Luxembourg,3,,,3,,,,,
Tran Nick, OB Bordtennis,3,,3,,,,,,
Viherlaiho Leon, Finland,3,,,3,,,,,
Alvarado David, LinnePartille PK,2,2,,,,,,,
Berg Sivert, Fokus BTK,2,2,,,,,,,
David Hold Cristian, Silkeborg BTK,2,2,,,,,,,
Elsen Luka, Luxembourg,2,,,2,,,,,
Engström Lukas, LinnePartille PK,2,2,,,,,,,
Floreby Axel, Linköpings Pingisklubb,2,2,,,,,,,
Häggström Axel, Norrtulls SK,2,,,2,,,,,
Lambinet Noah, Luxembourg,2,,,2,,,,,
Nelly Edvard, Ängby SK,2,,,2,,,,,
Papsø Mikkel, Silkeborg BTK,2,2,,,,,,,
Pullinen Leonid, Finland,2,,,2,,,,,
Sellado Abraham, England,2,,,,2,,,,
Soploher Jona, Svanesunds GIF,2,2,,,,,,,
Theisen Max, Luxembourg,2,,,2,,,,,
Vaher Andrus, LTK Kalev,2,,,2,,,,,
Aaagard Torum Mats, Fokus BTK,1,,,,1,,,,
Aaagard Torum Ulrik, Fokus BTK,1,,,,1,,,,
Brunzell Kevin, Ängby SK,1,,1,,,,,,
Bunge Tristan, Ängby SK,1,,1,,,,,,
Ekström André, Tullinge TP BTK,1,,1,,,,,,
Grähs Manne, Uppsala BTK,1,,1,,,,,,
Jedland Emil, Uppsala BTK,1,,1,,,,,,
Käld Areskoug Kimmy, Tullinge TP BTK,1,,1,,,,,,
Larsson Vidar, Uppsala BTK,1,,1,,,,,,
Ljunggren Richard, Ängby SK,1,,1,,,,,,
Mäkelä Ola, Uppsala BTK,1,,1,,,,,,
Pelling Vincent, Uppsala BTK,1,,1,,,,,,
Radiven Max, England,1,,,,1,,,,
Randall Harry, England,1,,,,1,,,,
Sivertsen Fredrik, Fokus BTK,1,,,,1,,,,
Sträm Jacob, Ängby SK,1,,1,,,,,,
Sörensen Frederik Vater, Virum-Sorgenfri BTK,1,,1,,,,,,
Tideman Liam, Uppsala BTK,1,,1,,,,,,
Vonebjerg Benjamin, OB Bordtennis,1,,1,,,,,,
Wesshagen William, Norrtulls SK,1,,,,1,,,,
