name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Dahlström Noa, Kalmar BTK,134,55,48,,31,,,,
Skouboe Berntsen Oliver, Hvidovre Bordtennis,114,39,20,55,,,,,
Sjögren Elias, Ängby SK,82,16,66,,,,,,
Arvidsson Edvin, BTK Frej,79,31,39,,9,,,,
Hunter Joseph, England,78,,39,,39,,,,
Lidèn Isaksson Hannes, Eslövs AI BTK,74,16,11,31,16,,,,
Sjösvärd Melker, Linköpings Pingisklubb,64,9,7,39,9,,,,
Jobs Hugo, Ängby SK,61,16,20,16,9,,,,
Alfredsson Isak, Halmstad BTK,55,,,,55,,,,
Gjörling Emil, Ängby SK,52,5,7,31,9,,,,
Geijer Axel, KFUM Jönköping IA,33,5,20,5,3,,,,
Madhu Chandra Bharath, Spårvägens BTK,32,16,7,9,,,,,
Lam Khai Noah, Fokus BTK,31,,,,31,,,,
Sundin Elias, Spårvägens BTK,31,31,,,,,,,
Gjörling Lukas, Ängby SK,29,9,20,,,,,,
Sjölander Erik, Mariedals IK,29,9,11,,9,,,,
Enbom Noah, Carlshamns BTK,26,5,7,9,5,,,,
Haglund Emil, Norrtulls SK,25,9,7,9,,,,,
Lidén Helmer, Norrtulls SK,25,,4,16,5,,,,
Ströberg Jesper, Hålta IK,21,,7,9,5,,,,
Dennison Adam, England,20,,11,,9,,,,
Dennison Joseph, England,20,,11,,9,,,,
Gravsiö Wallin Adam, IFK Täby BTK,20,9,11,,,,,,
Engberg-Havsteen Johan, Åstorps BTK,18,5,4,9,,,,,
Larsson Valle, Uppsala BTK,18,5,7,1,5,,,,
Röhr Jack, Spårvägens BTK,17,5,4,5,3,,,,
Abramov Natanael, Rishon LeZion,16,,,16,,,,,
Alvendal Theo, Norrtulls SK,16,9,2,,5,,,,
Elsen Luka, Luxembourg,16,,,16,,,,,
Fröseth Martin, Halmstad BTK,16,,,,16,,,,
Hedblad Sigge, IFK Täby BTK,16,9,7,,,,,,
Leth Nottelmann Adam, Brønshøj,16,3,4,9,,,,,
Nylén Hugo, Halmstad BTK,16,,,,16,,,,
Piilola Mio, BTK Frej,16,5,7,3,1,,,,
Piwowar Jakub, England,16,,,,16,,,,
Ståhl Olle, Ängby SK,16,5,11,,,,,,
Trumpauskas Larry, England,16,,11,,5,,,,
