name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Alfredsson Isak, Halmstad BTK,89,55,20,5,9,,,,
Bergenblock William, Halmstad BTK,86,,,55,31,,,,
Hunter Joseph, England,79,,48,,31,,,,
Piggot Benjamin, England,75,,66,,9,,,,
Edwardsson Isak, Ängby SK,61,16,11,31,3,,,,
Lam Khai Noah, Fokus BTK,55,,,,55,,,,
Mikael Joel, Lyckeby BTK,55,16,7,16,16,,,,
Larsson Dennis, Söderhamns UIF,54,3,4,31,16,,,,
Ridegård Charlie, Eslövs AI BTK,53,9,39,,5,,,,
Nylén Hugo, Halmstad BTK,52,31,7,5,9,,,,
Lidèn Isaksson Hannes, Eslövs AI BTK,51,3,4,39,5,,,,
Sjölander Erik, Mariedals IK,49,5,39,,5,,,,
Alestedt Peter, IFK Täby BTK,43,39,4,,,,,,
Bergman William, Stratos Enköping BTK,43,9,20,9,5,,,,
Carlsson Charlie, Eskilstuna BTK,42,,,3,39,,,,
Dahlström Noa, Mariedals IK,41,9,11,5,16,,,,
Wiener Hampus, BTK Rekord,41,5,20,16,,,,,
Rommedahl Hugo, Huskvarna Södra IS,35,3,11,16,5,,,,
Färdig Elias, Gefle PK,34,9,11,9,5,,,,
Johnsson Emil, Halmstad BTK,34,9,7,9,9,,,,
Bramfors Karl, Horreds BTK,33,5,20,3,5,,,,
Noah Lam Khai, Fokus BTK,31,31,,,,,,,
Törner Jakob, Spårvägens BTK,28,9,,16,3,,,,
Arvidsson Edvin, BTK Frej,27,5,4,9,9,,,,
Sjögren Elias, Ängby SK,27,16,11,,,,,,
Ebenius Ludwig, Ängby SK,26,5,11,5,5,,,,
Sjövold Alve, Ängby SK,26,16,,5,5,,,,
Hansson Victor, Horreds BTK,24,9,7,5,3,,,,
Davidsson Wilmer, Mariedals IK,21,5,4,3,9,,,,
Fröseth Martin, Halmstad BTK,21,5,,,16,,,,
Sandholt Mattias, BTK Rekord,21,5,7,9,,,,,
Skobe Adam, Mariedals IK,19,3,4,3,9,,,,
Madhu Chandra Bharath, Spårvägens BTK,17,5,7,5,,,,,
Ståhl Olle, Ängby SK,17,5,7,5,,,,,
Gravsiö Wallin Adam, IFK Täby BTK,16,5,11,,,,,,
Hedblad Sigge, IFK Täby BTK,16,5,11,,,,,,
Johansson Marcus, Askims BTK,15,3,7,,5,,,,
Larsson Valle, Uppsala BTK,15,3,4,3,5,,,,
Gjörling Lukas, Ängby SK,14,5,4,5,,,,,
Ransgart Fabian, Norrtulls SK,14,,4,5,5,,,,
Skouboe Oliver, Hvidovre Bordtennis,14,1,4,9,,,,,
Gjörling Emil, Ängby SK,13,3,7,,3,,,,
Sundin Elias, Spårvägens BTK,13,5,,5,3,,,,
Dennison Adam, England,12,,7,,5,,,,
Haglund Emil, Norrtulls SK,12,3,4,5,,,,,
Jobs Hugo, Ängby SK,12,5,7,,,,,,
Lidén Helmer, Norrtulls SK,12,,4,5,3,,,,
Trumpauskas Larry, England,12,,7,,5,,,,
Andersson Samuel, Halmstad BTK,11,1,4,3,3,,,,
Kotromanac Aleksandar, Åstorps BTK,10,3,4,3,,,,,
Rudén John, Ängby SK,10,,7,3,,,,,
Soploher Jona, Svanesunds GIF,10,1,,9,,,,,
Abramov Natanael, Rishon LeZion,9,,,9,,,,,
David Hold Cristian, Silkeborg BTK,9,9,,,,,,,
Piwowar Jakub, England,9,,,,9,,,,
Bøhler Thomassen Felix, Fokus BTK,8,3,,,5,,,,
Ellbring Elias, LinnePartille PK,8,1,4,,3,,,,
Enbom Noah, Carlshamns BTK,8,3,4,1,,,,,
Fly-Kristensen Lasse, BTK Viby,8,1,7,,,,,,
Geijer Axel, KFUM Jönköping IA,8,3,4,1,,,,,
Ibrahim Noah, Vestegnen BTK,8,1,4,,3,,,,
Johansson Hjalmar, Norrtulls SK,8,,4,3,1,,,,
Lundqvist Simon, Söderhamns UIF,8,5,,3,,,,,
Ströberg Jesper Hålta IK,8,,4,1,3,,,,
Tabbakh Obada, Ortvikens PK,8,3,2,3,,,,,
Christiansson Jacob, Mölndals BTK,7,3,4,,,,,,
Dennison Joseph, England,7,,4,,3,,,,
Ellis Toby, England,7,,7,,,,,,
Engström Lukas, LinnePartille PK,7,3,4,,,,,,
Hagström Måns, Norrtulls SK,7,1,2,1,3,,,,
Kingham Issac, England,7,,7,,,,,,
Sandegren Oskar, Spårvägens BTK,7,3,4,,,,,,
Öhman Isac, Norrtulls SK,7,,2,5,,,,,
Gierup David, Uppsala BTK,6,3,2,1,,,,,
Gustavsson Vidar, Spårvägens BTK,6,3,2,1,,,,,
Linander Erik, Klippans BTK,6,3,,,3,,,,
Salawa Wiktor, Tibble-Kungsängen BTK,6,3,,3,,,,,
Wesshagen William, Norrtulls SK,6,1,2,,3,,,,
Ahlgren Elliot, Lindome BTK,5,3,2,,,,,,
Alvendal Theo, Norrtulls SK,5,3,2,,,,,,
Andreasen Sofus, Virum BTK,5,3,2,,,,,,
Dittlau Eric, Söderhamns UIF,5,,4,1,,,,,
Dunkley Ben, England,5,,,,5,,,,
Gustafsson Melker, Dänningelanda BTK,5,,4,1,,,,,
Högman Jakob, Heby AIF,5,,1,1,3,,,,
Leth Nottelmann Adam, Brönshöj,5,,4,1,,,,,
Ljunggren Richard, Ängby SK,5,,4,1,,,,,
Luong Borg Alexander, Oskarshamns BTK,5,3,1,,1,,,,
Svensson Viktor, Söderhamns UIF,5,,,5,,,,,
Tibold Noé, Luxembourg,5,,,5,,,,,
Trygg Tor, Spårvägens BTK,5,3,,1,1,,,,
Bergqvist David, Norrtulls SK,4,1,2,,1,,,,
Bildhjerd Alwin, Ängby SK,4,,,3,1,,,,
Blomstrand Lukas, Spårvägens BTK,4,1,2,1,,,,,
Brunzell Kevin, Ängby SK,4,,4,,,,,,
Bunge Tristan, Ängby SK,4,,4,,,,,,
Gustafsson Benjamin, Eslövs AI BTK,4,3,1,,,,,,
Lee Hörnell Ludvig, Uppsala BTK,4,1,,3,,,,,
Lindberg William, Tibble-Kungsängen BTK,4,,4,,,,,,
Lundgren Martin, BTK Rekord,4,,1,,3,,,,
Persson Oscar, IFK Österåkers BTK,4,,,3,1,,,,
Rode Von Essen Theodor, Virum-Sorgenfri,4,,1,,3,,,,
Sträm Jacob, Ängby SK,4,3,1,,,,,,
Tran Nick, OB Bordtennis,4,,4,,,,,,
Walstedt Linus, Hammarby IF BTF,4,3,,1,,,,,
Weston Sixten, Spårvägens BTK,4,,,1,3,,,,
Aaagard Torum Mats Fokus BTK,3,,,,3,,,,
Axelsson Hampus, Horreds BTK,3,2,1,,,,,,
Barbi Hilly, Rishon LeZion,3,,,3,,,,,
Bjerke Einar, BTK Safir,3,3,,,,,,,
Budal Zune, Vestegnen BTK,3,,,,3,,,,
Elsen Luka, Luxembourg,3,,,3,,,,,
Flores Halldén Benjamin, Ängby SK,3,,,3,,,,,
Fuchs Matan, Rishon LeZion,3,,,3,,,,,
Gerakios Georgios, Sölvesborgs BTK,3,,,3,,,,,
Gilad Levin, Rishon LeZion,3,,,3,,,,,
Häger Gustav, Spårvägens BTK,3,1,,1,1,,,,
Häggström Axel, Norrtulls SK,3,1,1,,1,,,,
Höier Erik, Denmark,3,,,3,,,,,
Järverud Eriksson Isak, Askims BTK,3,3,,,,,,,
Kahlos Juho, Finland,3,,,3,,,,,
Kongsdal Andreas, Denmark,3,,,3,,,,,
Lambinet Noah, Luxembourg,3,,,3,,,,,
Lehtola Lassi, Finland,3,,,3,,,,,
Lindau Arvid, Halmstad BTK,3,1,2,,,,,,
Nelly Edvard, Ängby SK,3,,,3,,,,,
Papsø Mikkel, Silkeborg BTK,3,3,,,,,,,
Pullinen Leonid, Finland,3,,,3,,,,,
Röhr Jack, Spårvägens BTK,3,,,3,,,,,
Sahr Aaron, Luxembourg,3,,,3,,,,,
Shoar Kristian, Uppsala BTK,3,,2,1,,,,,
Vaher Andrus, LTK Kalev,3,,,3,,,,,
Vieherlaiho Leon, Finland,3,,,3,,,,,
Wigelius Aron, IFK Lund,3,,,,3,,,,
Wu Erik, Askims BTK,3,,,,3,,,,
Årstrand Ville, Lekstorps IF,3,3,,,,,,,
Ahmad Diako, Tibble-Kungsängen BTK,2,1,1,,,,,,
Alfredsson Max, Gefle PK,2,,,1,1,,,,
Arnell Elling, LinnePartille PK,2,1,1,,,,,,
Devantier Kallestrup Oscar, Björnshöj,2,,1,1,,,,,
Dommermuth Sivertsen Fredrik, Fokus BTK,2,2,,,,,,,
Ekeroth Hugo, Halmstad BTK,2,,1,,1,,,,
Grähs Manne, Uppsala BTK,2,,2,,,,,,
Käld Areskoug Kimmy, Tullinge TP BTK,2,,1,1,,,,,
Larsson Hugo, Ljungsbro BTK,2,1,,,1,,,,
Li Ethan, Spårvägens BTK,2,,,1,1,,,,
Liljegren Simon, LinnePartille PK,2,2,,,,,,,
Lundin Benjamin, Askims BTK,2,1,,,1,,,,
Mäkelä Ola, Uppsala BTK,2,1,1,,,,,,
Zhou Kevin, Virum-Sorgenfri BTK,2,,1,,1,,,,
Aaagard Torum Ulrik, Fokus BTK,1,,,,1,,,,
Alfredsson Morgan, Gefle PK,1,,,,1,,,,
Berg Sivert, Fokus BTK,1,1,,,,,,,
Bjerke Ebbe, BTK Safir,1,1,,,,,,,
