name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Gravsiö Wallin Adam, IFK Täby BTK,156,55,39,31,,31
Jobs Hugo, Ängby SK,109,31,5,16,45,12
Hedblad Sigge, IFK Täby BTK,94,9,31,9,,45
Madhu Chandra Bharath, Spårvägens BTK,92,9,55,16,,12
Sjösvärd Melker, Linköpings Pingisklubb,83,16,16,39,12,
Gjörling Emil, Ängby SK,75,16,16,31,,12
Alvendal Theo, Norrtulls SK,74,39,16,,12,7
Geijer Axel, KFUM Jönköping IA,68,9,5,16,31,7
Enbom Noah, Carlshamns BTK,65,9,16,9,24,7
Usov Mark, Haparanda SKT,64,31,,9,,24
Abramov Natanael, Rishon LeZion,55,,,55,,
Piilola Mio, BTK Frej,49,16,9,5,7,12
Ståhl Olle, Ängby SK,47,9,5,9,,24
Hallberg Leon, Halmstad BTK,36,9,5,3,12,7
Engberg-Havsteen Johan, Åstorps BTK,34,16,9,9,,
Kingham Issac, England,31,,31,,,
Larsson Sebastian, Spårvägens BTK,30,5,9,9,7,
Röhr Jack, Spårvägens BTK,30,9,9,5,7,
Bröms August, Norrtulls SK,26,5,5,5,4,7
Larsson Vidar, Uppsala BTK,24,5,9,3,7,
Sellado Abraham, England,24,,,,24,
Johansson Melker, Norrtulls SK,23,5,9,5,,4
Bozanovic Emilio, BTK Rekord,22,5,5,5,,7
Severinsen Malik, ESBJERG,22,5,5,5,7,
Hermann Magne, Lekstorps IF,21,5,3,2,4,7
Hasselbalch Emil, Virum/Sorgenfri BTK,19,3,9,3,4,
Lett Nottelmann Adam, Brønshøj,19,9,5,5,,
Myrhage Axel, Askims BTK,19,5,5,3,2,4
Karlsson Englund Simon, Spårvägens BTK,18,,5,5,4,4
Kongsdal Andreas, Vestegnen BTK,18,5,5,1,7,
Lehtola Lassi, Finland,16,,,16,,
Petersson Tintin, IFK Klagshamn,16,3,5,,4,4
Engström Alexander, Hammarby IF BTF,15,5,,2,4,4
Boberg Nils, IFK Klagshamn,14,,3,2,7,2
Høier Erik, Bronshoj,14,5,,9,,
