name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Dahlström Noa, Kalmar BTK,134,55,48,,31,
Arvidsson Edvin, BTK Frej,124,31,39,,9,45
Skouboe Berntsen Oliver, Hvidovre Bordtennis,114,39,20,55,,
Hunter Joseph, England,94,,39,,55,
Jobs Hugo, Ängby SK,85,16,20,16,9,24
Sjögren Elias, Ängby SK,82,16,66,,,
Lidèn Isaksson Hannes, Eslövs AI BTK,81,16,11,31,16,7
Sjösvärd Melker, Linköpings Pingisklubb,64,9,7,39,9,
Gjörling Emil, Ängby SK,52,5,7,31,9,
Hedblad Sigge, IFK Täby BTK,40,9,7,,,24
Alfredsson Isak, Halmstad BTK,39,,,,39,
Madhu Chandra Bharath, Spårvägens BTK,39,16,7,9,,7
Geijer Axel, KFUM Jönköping IA,37,5,20,5,3,4
Haglund Emil, Norrtulls SK,37,9,7,9,,12
Lidén Helmer, Norrtulls SK,37,,4,16,5,12
Enbom Noah, Carlshamns BTK,33,5,7,9,5,7
Sjölander Erik, Mariedals IK,33,9,11,,9,4
Gravsiö Wallin Adam, IFK Täby BTK,32,9,11,,,12
Lam Khai Noah, Fokus BTK,31,,,,31,
Sundin Elias, Spårvägens BTK,31,31,,,,
Usov Mark, Haparanda SKT,31,,,,,31
Gjörling Lukas, Ängby SK,29,9,20,,,
Ströberg Jesper, Hålta IK,28,,7,9,5,7
Ståhl Olle, Ängby SK,28,5,11,,,12
Alvendal Theo, Norrtulls SK,20,9,2,,5,4
Dennison Adam, England,20,,11,,9,
Dennison Joseph, England,20,,11,,9,
Ellbring Elias, LinnePartille PK,19,5,7,,3,4
Engberg-Havsteen Johan, Åstorps BTK,18,5,4,9,,
Larsson Valle, Uppsala BTK,18,5,7,1,5,
Tabbakh Obada, Ortvikens PK,18,5,1,5,,7
Bröms August, Norrtulls SK,17,3,4,3,3,4
Röhr Jack, Spårvägens BTK,17,5,4,5,3,
Abramov Natanael, Rishon LeZion,16,,,16,,
Elsen Luka, Luxembourg,16,,,16,,
Fröseth Martin, Halmstad BTK,16,,,,16,
Leth Nottelmann Adam, Brønshøj,16,3,4,9,,
Nylén Hugo, Halmstad BTK,16,,,,16,
Piilola Mio, BTK Frej,16,5,7,3,1,
Piwowar Jakub, England,16,,,,16,
Trumpauskas Larry, England,16,,11,,5,
Larsson Sebastian, Spårvägens BTK,15,5,4,3,3,
Bozanovic Emilio, BTK Rekord,14,5,2,3,,4
Bøhler Thomassen Felix, Fokus BTK,14,9,,,5,
Gustavsson Vidar, Spårvägens BTK,14,5,4,5,,
Blomstrand Lukas, Spårvägens BTK,13,5,7,1,,
Beijer Josef, IFK Lund Bordtennis,12,3,2,,3,4
Devantier Kallestrup Oscar, Brønshøj,12,3,4,5,,
Fly-Kristensen Lasse, BTK Viby,12,5,7,,,
Larsson Hugo, Ljungsbro BTK,12,3,,,5,4
Nilsson Malte, IFK Klagshamn,12,3,4,,3,2
Soploher Jona, Svanesunds GIF,12,,,5,,7
Gerakios Georgios, Sövesborgs BTK,11,,11,,,
Guldstrand Oliver, BTK Rekord,11,3,1,,3,4
Li Ethan, Spårvägens BTK,11,3,,3,1,4
Wigelius Aron, IFK Lund Bordtennis,11,3,1,,5,2
Bölenius Pontus, Boo KFUM IA,10,,1,5,,4
Gustafsson Melker, Dänningelanda BTK,10,,1,1,1,7
Jerdborg Love, Lekstorps IF,10,,,,3,7
Johansson Hjalmar, Norrtulls SK,10,,4,5,1,
Lindau Arvid, Halmstad BTK,10,3,7,,,
Myrhage Axel, Askims BTK,10,3,4,1,1,1
Persson Oscar, IFK Österåkers BTK,10,,,3,5,2
Sträm Jacob, Ängby SK,10,3,4,1,,2
Andersson Samuel, Halmstad BTK,9,2,1,2,3,1
Ekeroth Hugo, Halmstad BTK,9,,4,,5,
Lambinet Noah, Luxembourg,9,,,9,,
Lehtola Lassi, Finland,9,,,9,,
Ljunggren Richard, Ängby SK,9,,4,5,,
Lundin Benjamin, Askims BTK,9,3,,3,1,2
Radiven Max, England,9,,,,9,
Sandegren Oskar, Spårvägens BTK,9,5,4,,,
Bildhjerd Alwin, Ängby SK,8,,,3,5,
Elebring Felix, Linköpings Pingisklubb,8,3,,5,,
Gierup David, Uppsala BTK,8,3,2,3,,
Lundh Gabriel, Spårvägens BTK,8,3,4,1,,
Ramnäs Leo, Mölndals BTK,8,,4,,,4
Zhou Kevin, Vestegnen BTK,8,3,4,,,1
Adolphson Noa, Spårvägens BTK,7,,4,3,,
Brunzell Kevin, Ängby SK,7,,7,,,
Engström Vilmer, LinnePartille PK,7,1,4,,1,1
Gustafsson Benjamin, Eslövs AI BTK,7,3,4,,,
Hermann Magne, Lekstorps IF,7,,,,3,4
Højslet Gustav, Ribe BTK,7,3,4,,,
Ibrahim Noah, Vestegnen BTK,7,3,4,,,
Jacobsen Markus, Amager BTK,7,3,4,,,
Kingham Issac, England,7,,7,,,
Lund Heinig David, Hvidovre Bordtennis,7,,7,,,
Trygg Tor, Spårvägens BTK,7,1,,1,5,
Weston Sixten, Spårvägens BTK,7,,,5,2,
Bengtsson Simon, Halmstad BTK,6,1,1,,,4
Bergqvist David, Norrtulls SK,6,1,1,3,1,
Engström Alexander, Hammarby IF BTF,6,3,,1,,2
Høier Erik, Brönshöj,6,3,,3,,
Käld Areskoug Kimmy, Tullinge TP BTK,6,,2,3,,1
Majdalani Viktor, Spårvägens BTK,6,,,3,3,
Martinsson Hugo, Lekstorps IF,6,3,,,1,2
Mäkelä Ola, Uppsala BTK,6,1,4,1,,
Wu Erik, Askims BTK,6,1,,,1,4
Ahrenholt Jensen Marcus, Hilleröd Bordtennis,5,,4,1,,
Dunkley Ben, England,5,,,,5,
Flores Halldén Benjamin, Ängby SK,5,,,5,,
Gilad Levin, Rishon LeZion,5,,,5,,
Gjörling Rasmus, Ängby SK,5,,,5,,
Häger Gustav, Spårvägens BTK,5,1,,1,3,
Häggström Axel, Norrtulls SK,5,1,1,1,1,1
Høghøj Bedsted Janus, Brønshøj,5,1,4,,,
Klingström Walter, Tibble-Kungsängen BTK,5,1,1,3,,
Kongsdal Andreas, Vestegnen BTK,5,3,2,,,
Nielsen Snorre, Amager BTK,5,3,2,,,
Nordenskiöld Frid Max, Spårvägens BTK,5,,,5,,
Petersson Tintin, IFK Klagshamn,5,,,,1,4
Randall Harry, England,5,,,,5,
Santander Munoz Gabriel, Spårvägens BTK,5,1,,1,3,
Sivertsen Fredrik, Fokus BTK,5,,,,5,
Strand Alvar, Solna BTK,5,,,,3,2
Tibold Noé, Luxembourg,5,,,5,,
Alfredsson Max, Gefle PK,4,,,1,3,
Alfredsson Morgan, Gefle PK,4,,,1,3,
Bjerke Ebbe, BTK Safir,4,1,,3,,
Bunge Tristan, Ängby SK,4,,4,,,
Eriksson Anthony, Tibble-Kungsängen BTK,4,,1,3,,
Fischer Mio, Norrtulls SK,4,1,1,1,1,
Hallberg Leon, Halmstad BTK,4,,4,,,
Häggander Tore, Svanesunds GIF,4,,4,,,
Krook Joel, Askims BTK,4,3,,,,1
Nilsson Noa, IFK Lund Bordtennis,4,1,1,,,2
Rode Von Essen Theodor, Virum-Sorgenfri BTK,4,,4,,,
